CustomerID,TrueLabel,PredictedProb,PredictedLabel
2514-GINMM,1,1.0,1
8375-DKEBR,1,0.99,1
2545-EBUPK,0,0.98,1
5133-POWUA,0,0.98,1
9248-OJYKK,1,0.98,1
8258-GSTJK,1,0.97,1
3006-XIMLN,1,0.97,1
1069-XAIEM,1,0.97,1
4927-WWOOZ,0,0.97,1
2959-MJHIC,1,0.97,1
7409-KIUTL,1,0.96,1
9057-SIHCH,1,0.96,1
7180-PISOG,1,0.96,1
8161-QYMTT,0,0.96,1
5196-SGOAK,1,0.95,1
5542-TBBWB,0,0.95,1
6372-RFVNS,1,0.95,1
3320-VEOYC,0,0.95,1
2867-UIMSS,1,0.95,1
0841-NULXI,1,0.94,1
6861-XWTWQ,1,0.94,1
9804-ICWBG,1,0.94,1
5178-LMXOP,1,0.94,1
0295-PPHDO,1,0.94,1
3519-ZKXGG,1,0.93,1
6023-YEBUP,1,0.93,1
2737-YNGYW,1,0.92,1
6630-UJZMY,0,0.92,1
3716-BDVDB,1,0.92,1
3422-LYEPQ,1,0.92,1
3707-GNWHM,1,0.92,1
7952-OBOYL,0,0.92,1
4090-KPJIP,0,0.92,1
1853-UDXBW,1,0.92,1
5167-ZFFMM,1,0.92,1
1820-TQVEV,1,0.91,1
6543-XRMYR,1,0.91,1
2034-GDRCN,1,0.91,1
2609-IAICY,1,0.91,1
2277-VWCNI,0,0.91,1
8443-ZRDBZ,1,0.91,1
1448-PWKYE,1,0.91,1
8775-ERLNB,0,0.9,1
7817-BOQPW,1,0.9,1
9611-CTWIH,1,0.9,1
1143-NMNQJ,1,0.89,1
4445-ZJNMU,0,0.89,1
4735-ASGMA,1,0.89,1
7363-QTBIW,0,0.89,1
8083-YTZES,1,0.89,1
4713-LZDRV,1,0.88,1
8709-KRDVL,0,0.88,1
1751-NCDLI,0,0.88,1
6910-HADCM,1,0.88,1
2865-TCHJW,1,0.88,1
1980-KXVPM,1,0.88,1
8280-MQRQN,1,0.88,1
8622-ZLFKO,0,0.88,1
1628-BIZYP,0,0.87,1
8821-XNHVZ,1,0.87,1
4873-ILOLJ,1,0.87,1
9334-GWGOW,0,0.87,1
2027-FECZV,1,0.87,1
4415-IJZTP,1,0.87,1
6328-ZPBGN,1,0.86,1
2845-HSJCY,1,0.86,1
6230-BSUXY,1,0.86,1
0679-IDSTG,1,0.86,1
8739-XNIKG,0,0.86,1
7181-BQYBV,1,0.86,1
8397-MVTAZ,1,0.86,1
8593-WHYHV,1,0.86,1
9508-ILZDG,0,0.86,1
9878-TNQGW,1,0.85,1
7273-TEFQD,1,0.85,1
1400-MMYXY,1,0.85,1
0655-RBDUG,1,0.85,1
5480-HPRRX,1,0.85,1
1522-VVDMG,1,0.85,1
1320-HTRDR,1,0.85,1
1731-TVIUK,1,0.84,1
7278-CKDNC,0,0.84,1
8884-ADFVN,1,0.84,1
1867-BDVFH,1,0.84,1
3292-PBZEJ,0,0.84,1
2495-INZWQ,1,0.83,1
9507-EXLTT,1,0.83,1
7198-GLXTC,1,0.83,1
9221-OTIVJ,1,0.83,1
7249-WBIYX,1,0.83,1
6857-VWJDT,1,0.83,1
8245-UMPYT,1,0.83,1
3030-YDNRM,0,0.83,1
4678-DVQEO,1,0.83,1
4750-ZRXIU,1,0.83,1
2077-MPJQO,0,0.82,1
4817-VYYWS,1,0.82,1
2985-FMWYF,0,0.82,1
6979-ZNSFF,1,0.82,1
6969-MVBAI,0,0.82,1
9907-SWKKF,1,0.81,1
2254-DLXRI,0,0.81,1
8699-ASUFO,1,0.81,1
4223-WOZCM,0,0.81,1
0432-CAJZV,0,0.81,1
0970-ETWGE,1,0.81,1
5052-PNLOS,1,0.81,1
1942-OQFRW,0,0.8,1
2754-SDJRD,0,0.8,1
3677-IYRBF,1,0.79,1
3585-ISXZP,1,0.79,1
4587-VVTOX,1,0.79,1
9692-TUSXH,1,0.79,1
6338-AVWCY,1,0.79,1
3722-WPXTK,1,0.79,1
4706-AXVKM,1,0.78,1
0023-XUOPT,1,0.78,1
4013-GUXND,0,0.78,1
9638-JIQYA,0,0.78,1
8266-VBFQL,0,0.78,1
5501-TVMGM,0,0.77,1
0235-KGSLC,1,0.77,1
3063-QFSZL,1,0.76,1
7587-RZNME,1,0.76,1
5382-SOYZL,0,0.76,1
7218-HKQFK,1,0.76,1
1240-KNSEZ,1,0.76,1
2665-NPTGL,0,0.76,1
2439-LYPMQ,0,0.76,1
0388-EOPEX,1,0.76,1
0870-VEMYL,1,0.76,1
9752-ZNQUT,0,0.76,1
2860-RANUS,1,0.75,1
2485-ITVKB,1,0.75,1
4229-CZMLL,1,0.75,1
1768-ZAIFU,1,0.75,1
5442-BHQNG,0,0.75,1
6507-ZJSUR,0,0.75,1
6166-ILMNY,1,0.75,1
7881-EVUAD,1,0.75,1
4342-HENTK,1,0.75,1
7005-CCBKV,1,0.74,1
5357-TZHPP,1,0.74,1
5628-FCGYG,0,0.74,1
8873-GLDMH,0,0.74,1
5159-YFPKQ,1,0.74,1
0576-WNXXC,1,0.74,1
4512-ZUIYL,1,0.74,1
3658-KIBGF,1,0.73,1
6856-RAURS,0,0.73,1
0524-IAVZO,1,0.73,1
2202-CUYXZ,1,0.73,1
0876-WDUUZ,1,0.73,1
5186-SAMNZ,1,0.73,1
8621-MNIHH,1,0.73,1
8361-LTMKD,1,0.73,1
8739-WWKDU,1,0.73,1
7235-NXZCP,1,0.72,1
2754-XBHTB,1,0.72,1
0322-CHQRU,1,0.72,1
6899-PPEEA,1,0.72,1
3338-CVVEH,0,0.71,1
9279-CJEOJ,0,0.71,1
7861-UVUFT,1,0.71,1
9537-VHDTA,0,0.71,1
9741-YLNTD,0,0.71,1
8650-RHRKE,1,0.71,1
8541-QVFKM,0,0.71,1
0963-ZBDRN,1,0.71,1
0685-MLYYM,1,0.7,1
8380-PEFPE,1,0.7,1
2919-HBCJO,1,0.7,1
0871-URUWO,1,0.7,1
4029-HPFVY,0,0.7,1
7181-OQCUT,0,0.7,1
7130-VTEWQ,1,0.7,1
1335-NTIUC,0,0.7,1
1902-XBTFB,1,0.69,1
3717-OEAUQ,0,0.69,1
6821-BUXUX,1,0.69,1
3365-SAIGS,0,0.69,1
5226-NOZFC,0,0.69,1
6286-SUUWT,0,0.69,1
8601-QACRS,1,0.68,1
5698-BQJOH,1,0.68,1
6175-IRFIT,0,0.68,1
3750-CKVKH,1,0.68,1
6892-XPFPU,1,0.68,1
6319-IEJWJ,1,0.68,1
3199-XGZCY,0,0.68,1
2386-LAHRK,1,0.68,1
7354-OIJLX,0,0.67,1
1536-HBSWP,0,0.67,1
7056-IMHCC,1,0.67,1
0376-YMCJC,1,0.66,1
1833-TCXKK,0,0.66,1
1112-CUNAO,1,0.66,1
7029-RPUAV,1,0.66,1
7571-YXDAD,1,0.66,1
6158-HDPXZ,0,0.66,1
5339-PXDVH,0,0.65,1
6834-NXDCA,1,0.65,1
8752-STIVR,1,0.65,1
1302-UHBDD,0,0.65,1
1989-PRJHP,1,0.65,1
0749-IRGQE,0,0.65,1
4667-OHGKG,1,0.65,1
0988-JRWWP,0,0.65,1
4301-VVZKA,0,0.65,1
0616-ATFGB,1,0.65,1
8914-RBTSB,1,0.64,1
0430-IHCDJ,0,0.64,1
5760-FXFVO,0,0.64,1
6769-DYBQN,1,0.64,1
9512-UIBFX,1,0.64,1
0958-YHXGP,0,0.64,1
6376-GAHQE,1,0.63,1
7460-ITWWP,0,0.63,1
8778-LMWTJ,0,0.63,1
5419-CONWX,1,0.63,1
3908-BLSYF,1,0.63,1
4806-KEXQR,1,0.63,1
4283-FUTGF,1,0.63,1
2955-BJZHG,1,0.63,1
6661-HBGWL,1,0.63,1
8696-JKZNU,1,0.63,1
3858-VOBET,1,0.63,1
0599-XNYDO,0,0.63,1
9576-ANLXO,1,0.62,1
6234-PFPXL,0,0.62,1
9283-LZQOH,1,0.62,1
9685-WKZGT,1,0.62,1
3966-HRMZA,0,0.62,1
9747-DDZOS,1,0.62,1
1575-KRZZE,0,0.62,1
0730-KOAVE,0,0.62,1
6542-LWGXJ,0,0.62,1
6608-QQLVK,1,0.61,1
4647-MUZON,0,0.61,1
6402-EJMWF,0,0.61,1
5331-RGMTT,0,0.61,1
2325-NBPZG,0,0.61,1
3244-DCJWY,1,0.61,1
7503-QQRVF,1,0.61,1
4067-HLYQI,0,0.6,1
